Reporting Year,Project Title,Country ,Region,Public/Private,Technology Focus,Specific Technology,CTF funding (USD millions),MDB,Lifetime,"Expected GHG reductions (lifetime, tCO2)","Expected GHG reductions (annual, tCO2/ yr.)","Expected Co-financing (total, US$m)","Expected Co-financing (MDB, US$m)","Expected Co-financing (govt., US$m)","Expected Co-financing (pvt., US$m)","Expected Co-financing (bilateral, US$m)","Expected Co-financing (others, US$m)","Expected Installed capacity (total, MW)","Expected Installed capacity (wind, MW)","Expected Installed capacity (solar, MW)","Expected Installed capacity (hydro, MW)","Expected Installed capacity (geothermal, MW)","Expected Installed capacity (mixed, MW)","Expected Additional passengers (upon implementation, passengers per day)","Expected Energy savings (annual, GWh/ yr.)","Actual Latest Year GHG reductions (annual, tCO2/ yr.)","Actual Latest Year Co-financing (total, US$m)","Actual Latest Year Co-financing (MDB, US$m)","Actual Latest Year Co-financing (govt., US$m)","Actual Latest Year Co-financing (pvt., US$m)","Actual Latest Year Co-financing (bilateral, US$m)","Actual Latest Year Co-financing (others, US$m)","Actual Latest Year Installed capacity (total, MW)","Actual Latest Year Installed capacity (wind, MW)","Actual Latest Year Installed capacity (solar, MW)","Actual Latest Year Installed capacity (hydro, MW)","Actual Latest Year Installed capacity (geothermal, MW)","Actual Latest Year Installed capacity (mixed, MW)","Actual Latest Year Additional passengers (upon implementation, passengers per day)","Actual Latest Year Energy savings (annual, GWh/ yr.)","Cumulative GHG reductions (annual, tCO2/ yr.)","Cumulative Co-financing (total, US$m)","Cumulative Co-financing (MDB, US$m)","Cumulative Co-financing (govt., US$m)","Cumulative Co-financing (pvt., US$m)","Cumulative Co-financing (bilateral, US$m)","Cumulative Co-financing (others, US$m)","Cumulative Installed capacity (total, MW)","Cumulative Installed capacity (wind, MW)","Cumulative Installed capacity (solar, MW)","Cumulative Installed capacity (hydro, MW)","Cumulative Installed capacity (geothermal, MW)","Cumulative Installed capacity (mixed, MW)","Cumulative Additional passengers (upon implementation, passengers per day)","Cumulative Energy savings (annual, GWh/ yr.)",Fund
2019,Novoazovsk Wind Project,Ukraine,ECA,Private,Renewable Energy,RE-Wind,21.12,EBRD,20,2120000,106000,42.62,42.62,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255000,116,45,0,71,0,0,33,33,0,0,0,0,0,709,CTF
2019,Ukraine Green City Programme,Ukraine,ECA,Private,Energy Efficiency,EE-District Heating,51.38,EBRD,20,7000000,350000,226.85,154.92,0,0,0,71.93,0,0,0,0,0,0,0,350,0,138.24,91.8,0,19.44,0,27,0,0,0,0,0,0,0,0,0,219.04,142.4,0,19.44,0,57.2,0,0,0,0,0,0,0,1.4,CTF
2019,Sustainable Energy Acceleration Program,South Africa,AFR,Private,Renewable Energy,RE-Solar,39.12,AfDB,18,6500000,360000,1123.66,278.38,0,770.78,0,1078.2,125,0,125,0,0,0,0,0,295256,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,440503,525.209,114.84,0,213.87,0,253.4,100,0,100,0,0,0,0,0,CTF
2019,Sustainable Energy Acceleration Program,South Africa,AFR,Private,Renewable Energy,RE-Solar,42.50,IFC,18,6500000,360000,152.5,38.75,0,0,0,228,125,0,125,0,0,0,0,0,445449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247689.04,1501.4,0,0,0,0,0,150,0,150,0,0,0,0,0,CTF
2019,Energy Efficiency Program,South Africa,AFR,Private,Energy Efficiency,EE-End USe,2.72,IFC,15,1180000,78667,6.58,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,FinBRAZEEC,Brazil,LAC,Public,Energy Efficiency,EE-Multiple,20.00,IBRD,0,12491089,960853,1309,200,180,728,0,201,0,0,0,0,0,0,0,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Technological Transformation Program for Bogota’s Integrated Public Transport System,Colombia,LAC,Public,Transport,TR-Mass Transit,40.00,IDB,24,169488,7062,40,0,0,40,0,0,0,0,0,0,0,0,73846,0,4724,0,0,0,0,0,0,0,0,0,0,0,0,64020,0,18853,63.2,0,0,63.2,0,0,0,0,0,0,0,0,282764.09,0,CTF
2019,Strategic Public Transportation Systems (SETP) Program,Colombia,LAC,Public,Transport,TR-Other,20.00,IDB,10,860000,86000,361,300,60.78,0,0,0,0,0,0,0,0,0,787000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,"Efficient Energy Demand Management in Non-Interconnected Zones-San Andrés, Providencia and Santa Catalina Archipelago Pilot Program",Colombia,LAC,Public,Energy Efficiency,EE-End USe,10.58,IDB,10,141000,9835,93,91,0,0,0,2,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,CTF
2019,Energy Efficiency Financing Program for the Services Sector,Colombia,LAC,Public,Energy Efficiency,EE-End USe,11.05,IDB,15,139773,15276,20,10,0,10,0,0,0,0,0,0,0,0,0,69,1370.4,29.855,19.78,0,10.075,0,0,0,0,0,0,0,0,0,6,1372.724,31.33,21.189,0,10.137,0,0,0,0,0,0,0,0,0,11.65,CTF
