Reporting Year,Project Title,Country ,Region,Public/Private,Technology Focus,Specific Technology,CTF funding (USD millions),MDB,Lifetime,"Expected GHG reductions (lifetime, tCO2)","Expected GHG reductions (annual, tCO2/ yr.)","Expected Co-financing (total, US$m)","Expected Co-financing (MDB, US$m)","Expected Co-financing (govt., US$m)","Expected Co-financing (pvt., US$m)","Expected Co-financing (bilateral, US$m)","Expected Co-financing (others, US$m)","Expected Installed capacity (total, MW)","Expected Installed capacity (wind, MW)","Expected Installed capacity (solar, MW)","Expected Installed capacity (hydro, MW)","Expected Installed capacity (geothermal, MW)","Expected Installed capacity (mixed, MW)","Expected Additional passengers (upon implementation, passengers per day)","Expected Energy savings (annual, GWh/ yr.)","Actual Latest Year GHG reductions (annual, tCO2/ yr.)","Actual Latest Year Co-financing (total, US$m)","Actual Latest Year Co-financing (MDB, US$m)","Actual Latest Year Co-financing (govt., US$m)","Actual Latest Year Co-financing (pvt., US$m)","Actual Latest Year Co-financing (bilateral, US$m)","Actual Latest Year Co-financing (others, US$m)","Actual Latest Year Installed capacity (total, MW)","Actual Latest Year Installed capacity (wind, MW)","Actual Latest Year Installed capacity (solar, MW)","Actual Latest Year Installed capacity (hydro, MW)","Actual Latest Year Installed capacity (geothermal, MW)","Actual Latest Year Installed capacity (mixed, MW)","Actual Latest Year Additional passengers (upon implementation, passengers per day)","Actual Latest Year Energy savings (annual, GWh/ yr.)","Cumulative GHG reductions (annual, tCO2/ yr.)","Cumulative Co-financing (total, US$m)","Cumulative Co-financing (MDB, US$m)","Cumulative Co-financing (govt., US$m)","Cumulative Co-financing (pvt., US$m)","Cumulative Co-financing (bilateral, US$m)","Cumulative Co-financing (others, US$m)","Cumulative Installed capacity (total, MW)","Cumulative Installed capacity (wind, MW)","Cumulative Installed capacity (solar, MW)","Cumulative Installed capacity (hydro, MW)","Cumulative Installed capacity (geothermal, MW)","Cumulative Installed capacity (mixed, MW)","Cumulative Additional passengers (upon implementation, passengers per day)","Cumulative Energy savings (annual, GWh/ yr.)",Fund
2019,Midelt or Tata CSP Project,Morocco,AFR,Public,Renewable Energy,RE-Solar,25.00,IBRD + AfDB,30,15400000,700000,2248,440,26,344,168,1270,800,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Urban Transport Transformation Project,Mexico,LAC,Public,Transport,TR-Other,200.00,IBRD,20,30000000,340000,735,150,351,234,0,585,0,0,0,0,0,0,3960000,0,46842.29,0,0,0,0,0,0,0,0,0,0,0,0,227000,0,633306.29,281.4,52.02,98.2,183,0,281.2,0,0,0,0,0,0,227000,0,CTF
2019,Efficient Lighting and Appliances Project,Mexico,LAC,Public,Energy Efficiency,EE-End USe,50.00,IBRD,20,7134400,616800,663,251,229.7,176,0,7.11,0,0,0,0,0,0,0,1200,747600,0,0,0,0,0,0,0,0,0,0,0,0,0,676.93,4230372,956.01,250.63,602.62,95.64,0,7.12,0,0,0,0,0,0,0,4955.82,CTF
2019,"Renewable Energy Program, Proposal III",Mexico,LAC,Public,Renewable Energy,RE-Mixed,70.61,IDB,20,40220000,2011242,2430,70,70,0,0,2290,1000,0,0,0,0,1000,0,0,1491058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6904959.66,2025.63,121.83,203.78,0,0,1699.753,898.5,868.5,30,0,0,0,0,0,CTF
2019,"""Ecocasa"" Program (Mexico Energy Efficiency Program Part II)",Mexico,LAC,Public,Energy Efficiency,EE-End USe,51.61,IDB,40,1000000,25000,160,50,0,0,110,0,0,0,0,0,0,0,0,35.8,4442,0,0,0,0,0,0,0,0,0,0,0,0,0,15.7,21857.66,217.1,50,0,50.1,190,9.333333333,0,0,0,0,0,0,0,55.94,CTF
2019,Geothermal Financing and Risk Transfer Facility,Mexico,LAC,Public,Renewable Energy,RE-Geothermal,54.30,IDB,30,33000000,1100000,1211.1,54.3,65.8,1091,0,0,300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,11.5,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Geothermal Exploration and Transmission Improvement Program under the PINIC,Nicaragua,LAC,Public,Renewable Energy,RE-Geothermal,10.00,IDB,30,3319650,110655,16,13,4,0,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Market Transformation through Introduction of Energy Efficient Electric Vehicles Project,Philippines,ASIA,Public,Transport,TR-Vehicle Technologies,13.30,ADB,10,2690000,269000,399,300,99,0,0,0,0,0,0,0,0,0,700000,0,0,12.09,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,12.57,12.32,0.246248,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Renewable Energy Development (PHRED),Philippines,ASIA,Public,Renewable Energy / Energy Efficiency,Renewable Energy/Energy Efficiency,45.03,IBRD,30,17600000,523370,500,0,0,500,0,0,71.4,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Cebu Bus Rapid Transit Project,Philippines,ASIA,Public,Transport,TR-Mass Transit,26.05,IBRD,20,3867000,193000,203.5,116,87.5,0,0,0,0,0,0,0,0,0,125000,0,0,3.38,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,15.65,15.65,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Metro Manila BRT-Line 1 Project,Philippines,ASIA,Public,Transport,TR-Mass Transit,23.90,IBRD,20,0,8779,85.51,40.7,44.81,0,0,0,0,0,0,0,0,0,300000,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Private Sector Renewable Energy and Energy Efficiency Project,Turkey,ECA,Public,Renewable Energy / Energy Efficiency,Renewable Energy/Energy Efficiency,100.00,IBRD,20,70140000,3507000,1450,1000,450,0,0,0,951,225,0,700,26,0,0,1382,3214583,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,24095665,2999.56,950.66,2048.9,0,0,0,933,203,24,525.3,181.3,0,0,11036,CTF
2019,Renewable Energy Integration Project,Turkey,ECA,Public,Renewable Energy,RE-Wind,50.00,IBRD,15,10420000,690000,1025,300,125,600,0,0,600,600,0,0,0,0,0,0,0,40.02,40.02,0,0,0,0,0,0,0,0,0,0,0,0,0,246,188.2,57.8,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Geothermal Development Project,Turkey,ECA,Public,Renewable Energy,RE-Geothermal,40.00,IBRD,30,0,650927,318,0,0,318,0,0,208,0,0,0,208,0,0,0,0,0,0,0,0,0,0,147,0,0,0,147,0,0,0,0,0,0,0,0,0,0,147,0,0,0,147,0,0,0,CTF
2019,District Heating Energy Efficiency Project,Ukraine,ECA,Public,Energy Efficiency,EE-District Heating,51.00,IBRD,20,5260000,330000,332,332,0,0,0,0,0,0,0,0,0,0,0,560,10160,17.09,17.09,0,0,0,0,0,0,0,0,0,0,0,38,10160,38.89,38.89,0,0,0,0,0,0,0,0,0,0,0,38,CTF
2019,Second Urban Infrastructure Project (UIP-2),Ukraine,ECA,Public,Energy Efficiency,EE-Other,50.00,IBRD,20,9507849,475392,300,300,0,0,0,0,0,0,0,0,0,0,0,470,0,28.51,28.51,0,0,0,0,0,0,0,0,0,0,0,0,0,55.23,55.23,0,0,0,0,0,0,0,0,0,0,0,0,CTF
2019,Second Power Transmission Project,Ukraine,ECA,Public,Energy Efficiency,EE-Smart Grid,48.80,IBRD,20,48500000,2800000,1732.5,332.5,0,1400,0,0,1100,0,0,0,0,1100,0,430,0,13.02,13.02,0,0,0,0,0,0,0,0,0,0,0,47,0,30.57,30.57,0,0,0,0,0,0,0,0,0,0,0,47,CTF
2019,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2 Project,Vietnam,ASIA,Public,Transport,TR-Mass Transit,49.97,ADB,20,80500,4025,1390.5,550,332.5,0,508,0,0,0,0,0,0,0,128960,0,0,6.53,4.97,1.1,0,0.46,0,0,0,0,0,0,0,0,0,0,48.32,18.69,9.02,0,20.61,0,0,0,0,0,0,0,0,0,CTF
2019,Distribution Efficiency Project,Vietnam,ASIA,Public,Energy Efficiency,EE-Smart Grid,30.00,IBRD,10,2691480,269148,770.4,448.9,313.5,0,8,0,0,0,0,0,0,0,0,414,365707,175.53,-5.28,180.81,0,-0.19562163,0,0,0,0,0,0,0,0,0,510764,333.14,413.89,180.81,0,-259.97,0,0,0,0,0,0,0,0,177.92,CTF
2019,Ha Noi Sustainable Urban Transport Program,Vietnam,ASIA,Public,Transport,TR-Mass Transit,99.97,ADB,20,168000,8400,1336,362,251,0,722.7,0,0,0,0,0,0,0,157000,0,0,75.97,1.15,15.11,0,59.71,0,0,0,0,0,0,0,0,0,0,382.14,28.67,76.45,0,277.02,0,0,0,0,0,0,0,0,0,CTF
2019,Eskom Renewable Support Project - Wind,South Africa,AFR,Public,Renewable Energy,RE-Wind,85.60,IBRD + AfDB,20,4760000,238000,787,110,41.78,0,635,0,100,100,0,0,0,0,0,0,250015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036030,224.63,36.18,3.5,0,122.97,0,100,100,0,0,0,0,0,0,CTF
2019,Eskom Renewable Support Project - CSP,South Africa,AFR,Public,Renewable Energy,RE-Solar,264.40,IBRD + AfDB,20,11400000,570000,415,415,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14457,0.36,0.43357,0,0.351,0,0,0,0,0,0,0,0,0,CTF
